player_id,season,week,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,passing_epa
00-0023459,2023,1,0,1,0,0,0,1,10,-2.0319598843343556
00-0026158,2023,13,23,44,254,2,1,2,14,-7.791563930410868
00-0026158,2023,14,26,45,311,3,1,1,4,-1.6544217481042307
00-0026158,2023,15,28,44,374,2,3,4,31,-17.392163456001864
00-0026158,2023,16,27,42,368,3,2,0,-0,19.032988064660454
00-0026158,2023,17,19,29,309,3,1,1,8,6.1975739089539275
00-0026498,2023,1,24,38,334,0,0,0,-0,20.67998153272862
00-0026498,2023,2,34,55,307,1,2,1,10,-5.089192700477703
00-0026498,2023,3,18,33,269,1,2,6,48,-8.404790011332945
00-0026498,2023,4,27,40,319,1,1,2,16,11.37435107669372
00-0026498,2023,5,21,37,222,2,0,4,27,-2.536261009518057
00-0026498,2023,6,15,24,226,1,0,3,23,3.271050272125505
00-0026498,2023,7,14,29,231,1,1,2,12,-3.590840504016092
00-0026498,2023,8,13,22,162,1,1,1,9,-4.978713984668223
00-0026498,2023,11,17,31,190,1,1,1,5,-4.574814941957867
00-0026498,2023,12,25,33,229,4,1,0,-0,13.204231557474376
00-0026498,2023,13,22,37,279,3,0,0,-0,5.319123742495321
00-0026498,2023,14,23,41,294,3,0,2,12,6.54873018331353
00-0026498,2023,15,25,33,258,2,0,3,9,7.874736452077675
00-0026498,2023,16,24,34,328,2,0,1,3,15.034519595255832
00-0026498,2023,17,24,34,317,1,2,4,31,0.8999966169358231
00-0026625,2023,6,6,10,102,0,0,0,-0,4.752259165038733
00-0026625,2023,7,17,32,129,0,2,1,8,-13.533031918403136
00-0027948,2023,3,3,5,31,0,2,0,-0,-6.706045397208072
00-0027948,2023,18,15,30,154,0,1,1,9,-9.437241707955698
00-0027973,2023,3,34,58,361,2,0,3,27,4.548329591227218
00-0028118,2023,1,2,2,6,0,0,0,-0,-0.544656885205768
00-0028118,2023,3,0,1,0,0,0,0,-0,-0.6515430161962286
00-0028118,2023,5,9,12,86,0,0,1,3,2.4409939376013767
00-0028118,2023,6,24,36,200,0,0,3,15,-2.130479126713199
00-0028118,2023,7,18,29,279,2,0,4,29,4.930734614199577
00-0028118,2023,8,4,7,8,0,0,2,7,-10.349500579329142
00-0028118,2023,15,2,4,13,0,0,0,-0,0.40001194594534706
00-0028118,2023,16,7,16,133,1,1,0,-0,0.5316355136455968
00-0028118,2023,17,27,41,319,1,1,6,35,-2.061729279968789
00-0028118,2023,18,23,32,297,1,1,1,5,9.55054857267519
00-0028986,2023,15,23,36,229,1,1,3,27,-2.5340544037528776
00-0028986,2023,16,11,17,62,0,2,3,33,-18.117274977848865
00-0029263,2023,1,27,34,177,2,0,2,11,2.355538343570046
00-0029263,2023,2,18,32,308,3,1,7,31,3.3465051103927843
00-0029263,2023,3,23,38,306,1,1,1,12,2.2087187350008812
00-0029263,2023,4,21,28,223,3,0,1,9,14.21806286516332
00-0029263,2023,5,20,31,196,2,0,4,27,-10.412276005515247
00-0029263,2023,6,13,22,95,1,2,4,13,-18.298592432925943
00-0029263,2023,7,20,29,194,1,0,1,-0,4.095713499630485
00-0029263,2023,8,12,19,114,3,0,6,27,-4.8447875870412584
00-0029263,2023,10,24,29,193,2,0,4,15,5.758063172628668
00-0029263,2023,11,27,35,259,1,0,2,10,1.4860982910168274
00-0029263,2023,12,13,22,134,1,0,1,9,4.45424141373951
00-0029263,2023,13,15,26,186,1,3,3,22,-14.968118985611405
00-0029263,2023,14,21,33,224,2,1,2,8,-2.21562039923466
00-0029263,2023,15,18,32,223,1,0,2,19,-2.3929814262664877
00-0029263,2023,16,25,37,238,2,0,5,45,-1.1267621187165258
00-0029604,2023,1,33,44,344,2,1,2,16,0.32368977627827666
00-0029604,2023,2,31,44,364,4,0,2,18,17.481337210163474
00-0029604,2023,3,32,50,367,3,1,4,22,1.4202402869707438
00-0029604,2023,4,12,19,139,2,2,2,9,-10.878062953648625
00-0029604,2023,5,29,47,284,2,0,3,25,2.5681459510758153
00-0029604,2023,6,21,31,181,1,0,2,7,-6.169656257693803
00-0029604,2023,7,35,45,378,2,1,0,-0,12.85741865847513
00-0029604,2023,8,23,31,274,2,0,2,13,19.499932799483048
00-0029701,2023,1,16,34,198,0,3,3,17,-12.0429618927599
00-0029701,2023,2,20,24,246,1,0,5,46,1.4567640593870608
00-0029701,2023,3,13,25,104,0,0,5,36,-14.025611756842377
00-0029701,2023,4,18,25,240,1,1,3,15,7.165728041705081
00-0029701,2023,5,23,34,264,0,1,1,5,9.329527414469329
00-0029701,2023,6,8,16,76,0,1,2,16,-10.508053488856875
00-0029701,2023,16,18,26,152,0,0,6,39,-2.6874157276470214
00-0029701,2023,17,16,20,168,0,0,5,40,-2.4355689408452954
00-0029701,2023,18,17,26,168,2,1,2,16,0.881224628596101
00-0030565,2023,1,16,26,112,1,0,2,17,-4.389090738004491
00-0030565,2023,2,32,41,328,2,0,1,17,14.869270530748487
00-0030565,2023,3,23,36,296,1,1,2,17,5.2735152484276275
00-0030565,2023,4,13,20,110,1,0,2,13,-9.127239332726395
00-0030565,2023,6,27,41,326,0,2,4,29,-3.616049409648474
00-0030565,2023,7,18,24,219,2,1,2,16,7.281663570599957
00-0030565,2023,8,23,37,254,2,2,1,6,2.6245567447569806
00-0030565,2023,9,13,28,157,0,1,4,34,-14.661981639171309
00-0030565,2023,10,31,47,369,2,0,1,-0,5.205711377139459
00-0030565,2023,11,22,34,233,1,0,2,13,5.416796529322654
00-0030565,2023,12,18,27,180,0,1,6,48,-11.940727955094662
00-0030565,2023,13,23,41,334,3,1,0,-0,11.57318432268221
00-0030565,2023,16,25,36,227,2,0,3,12,11.052164996637064
00-0030565,2023,17,23,33,290,1,0,1,9,7.223915382146952
00-0030565,2023,18,16,28,189,2,0,0,-0,5.654846886358095
00-0031280,2023,1,23,33,305,1,1,4,23,3.6704846313371937
00-0031280,2023,2,21,36,228,0,1,4,29,-2.1891075282538184
00-0031280,2023,3,13,18,103,1,0,3,21,0.07446693118935999
00-0031280,2023,4,23,37,127,0,0,2,10,-12.751911281074792
00-0031280,2023,5,18,26,183,2,0,2,15,3.4477739772610976
00-0031280,2023,6,32,50,353,1,1,2,16,5.213855274451472
00-0031280,2023,7,33,55,301,1,1,1,6,-16.85071141964793
00-0031280,2023,8,19,27,310,2,0,1,4,13.525134789408185
00-0031280,2023,9,25,34,211,2,0,0,-0,2.713006294238157
00-0031280,2023,10,13,18,110,0,0,2,12,-2.3130262496371943
00-0031280,2023,12,24,38,304,0,1,1,8,-1.2685188326217418
00-0031280,2023,13,17,22,226,1,1,2,18,7.331379322044086
00-0031280,2023,14,18,26,119,2,1,1,9,-9.563635846828335
00-0031280,2023,15,23,28,218,3,0,1,9,9.94775139906002
00-0031280,2023,16,27,40,319,3,1,2,15,0.7056747059687041
00-0031280,2023,17,24,32,197,2,0,1,6,9.247694994742734
00-0031280,2023,18,22,28,264,4,0,2,17,14.978746151984351
00-0031288,2023,14,1,1,-1,0,0,0,-0,-1.6931319367140532
00-0031288,2023,18,3,4,20,0,0,1,9,-3.5579401078866795
00-0031345,2023,1,20,26,200,2,1,0,-0,13.086084981785486
00-0031345,2023,2,16,24,185,1,2,0,-0,-2.0070985654510527
00-0031345,2023,3,28,44,324,2,3,4,31,-8.352473780592542
00-0031345,2023,5,22,31,208,1,1,3,21,-0.7268434750931592
00-0031345,2023,6,14,22,162,1,1,0,-0,5.130306091690607
00-0031345,2023,8,10,21,126,0,1,6,49,-24.156507637933828
00-0031345,2023,18,0,1,0,0,0,1,-0,-2.135103028267622
00-0031503,2023,3,10,16,101,0,0,1,8,-2.519490228338142
00-0031503,2023,4,0,1,0,0,1,0,-0,-2.82205399236409
00-0031503,2023,10,13,25,122,2,2,1,5,-4.560712916892953
00-0031503,2023,13,2,5,41,0,0,0,-0,0.11323756276397036
00-0031800,2023,8,12,21,175,1,0,1,8,6.048243212197201
00-0031800,2023,9,21,38,268,1,1,1,8,-1.4887448844313336
00-0031800,2023,10,8,15,55,1,0,3,24,-7.530447752532551
00-0031800,2023,16,23,33,229,1,0,1,-0,7.642198999814564
00-0031800,2023,17,10,29,163,1,3,2,7,-6.314528683457766
00-0032156,2023,13,5,13,66,0,0,3,12,-7.564943343139021
00-0032156,2023,15,14,26,110,0,2,2,19,-9.411222703638488
00-0032156,2023,16,27,49,217,1,1,0,-0,-15.972939805726302
00-0032156,2023,17,32,45,261,1,1,2,8,-10.637966791807788
00-0032156,2023,18,8,20,70,0,0,1,1,-11.007632592412085
00-0032268,2023,13,2,3,16,0,0,0,-0,-0.3476434804033488
00-0032268,2023,18,13,20,148,1,1,3,11,-4.762452383960964
00-0032436,2023,18,13,26,166,2,2,3,26,-10.95720804540906
00-0032950,2023,18,17,24,163,2,1,2,14,7.064853062212933
00-0033077,2023,1,13,24,143,0,0,0,-0,4.17848433913809
00-0033077,2023,2,31,38,255,2,0,1,7,10.077872056186449
00-0033077,2023,3,25,40,249,1,1,2,18,-3.659614854047325
00-0033077,2023,4,28,34,261,1,0,3,28,3.933240894897108
00-0033077,2023,5,14,24,153,1,3,3,13,-12.18878598313313
00-0033077,2023,6,21,30,272,1,0,5,26,6.778182700220884
00-0033077,2023,8,25,31,304,4,1,3,22,11.593556129590604
00-0033077,2023,9,29,44,374,3,0,5,41,12.918436241445182
00-0033077,2023,10,26,35,404,4,1,0,-0,16.128327141632326
00-0033077,2023,11,25,38,189,2,0,0,-0,7.6395618677019
00-0033077,2023,12,22,32,331,4,0,0,-0,18.192239626375574
00-0033077,2023,13,29,41,299,3,0,4,24,13.770497584657994
00-0033077,2023,14,24,39,271,2,0,3,15,-0.05498430396938691
00-0033077,2023,15,21,34,134,0,1,3,28,-12.449003155246528
00-0033077,2023,16,20,32,253,2,0,4,11,8.432478624566755
00-0033077,2023,17,26,38,345,2,1,3,22,11.299152896313498
00-0033077,2023,18,31,36,279,4,1,0,-0,22.099422981782563
00-0033106,2023,1,22,35,253,1,0,1,3,6.543756803672295
00-0033106,2023,2,28,35,323,3,1,2,7,8.152201352508701
00-0033106,2023,3,22,33,243,1,1,0,-0,2.7206899089548573
00-0033106,2023,4,19,28,210,1,1,2,20,2.4591233149722904
00-0033106,2023,5,20,28,236,3,0,2,18,5.771698093274608
00-0033106,2023,6,30,44,353,2,0,3,13,17.925803287663015
00-0033106,2023,7,33,53,284,0,1,5,31,-12.379357203666586
00-0033106,2023,8,26,37,272,1,1,0,-0,2.3991140622339024
00-0033106,2023,10,23,33,333,2,0,0,-0,14.826729859458284
00-0033106,2023,11,23,35,236,2,3,2,13,-2.145054559397977
00-0033106,2023,12,29,44,332,2,0,3,8,-5.440493225352839
00-0033106,2023,13,16,25,213,2,0,1,8,8.439438044373311
00-0033106,2023,14,20,35,161,1,2,4,34,-6.335564998094924
00-0033106,2023,15,24,34,278,5,0,2,15,15.231727600214072
00-0033106,2023,16,30,40,257,1,0,1,11,14.274304325256995
00-0033106,2023,17,19,34,271,1,2,1,7,-1.6409641929907326
00-0033106,2023,18,23,32,320,2,0,1,9,10.87409844600108
00-0033119,2023,15,8,10,124,2,0,0,-0,9.427990246273112
00-0033119,2023,16,10,13,100,1,0,0,-0,6.947744549863273
00-0033275,2023,6,18,34,192,0,2,2,18,-14.264403022690107
00-0033275,2023,7,15,32,178,0,1,2,17,-3.3300769146376688
00-0033275,2023,8,15,31,248,1,2,3,27,-5.688340737857574
00-0033275,2023,10,0,1,0,0,0,0,-0,-0.2794255707995035
00-0033275,2023,12,6,13,56,0,0,4,28,-11.402487118903082
00-0033319,2023,14,9,13,83,0,0,0,-0,1.6778485485701822
00-0033319,2023,15,26,33,303,2,2,3,22,11.740158662526127
00-0033319,2023,16,22,36,411,2,4,4,38,5.6913213593070395
00-0033319,2023,17,13,22,113,1,0,1,8,-4.1967074410640635
00-0033319,2023,18,30,44,396,2,2,4,37,-2.6157523604154265
00-0033357,2023,2,1,1,8,0,0,0,-0,0.5803323040599935
00-0033357,2023,4,1,1,13,0,0,1,3,-0.3197493079351261
00-0033357,2023,6,1,1,4,0,0,0,-0,0.08685685053933412
00-0033357,2023,8,1,2,44,0,0,0,-0,2.595579115615692
00-0033357,2023,9,1,1,3,1,0,0,-0,0.8065087035065517
00-0033357,2023,13,0,2,0,0,0,0,-0,-1.4256790415383875
00-0033357,2023,15,0,1,0,0,0,0,-0,-0.5991178345866501
00-0033357,2023,17,1,2,11,0,0,0,-0,0.49068568175425753
00-0033357,2023,18,0,0,0,0,0,1,1,-0.7570095867849886
00-0033537,2023,1,16,29,154,1,1,3,10,-10.871305896014098
00-0033537,2023,2,22,40,235,1,1,6,25,-15.953177403144815
00-0033537,2023,3,27,33,289,2,0,3,26,12.508116518452686
00-0033537,2023,7,1,5,5,0,1,0,-0,-5.8757238739635795
00-0033537,2023,9,19,30,219,2,0,1,6,1.4342772680909022
00-0033537,2023,10,20,34,213,1,1,4,18,-0.1923484141191314
00-0033662,2023,1,0,1,0,0,0,0,-0,-2.601653972407803
00-0033662,2023,4,2,2,20,0,0,0,-0,1.5769879361032508
00-0033662,2023,5,2,2,8,0,0,1,8,-1.4217072618193924
00-0033662,2023,8,2,3,3,0,0,0,-0,-2.3172528342111036
00-0033662,2023,10,7,9,68,0,1,0,-0,-0.29045116109773517
00-0033662,2023,11,2,3,15,0,0,0,-0,-1.0920929117128253
00-0033662,2023,18,3,4,30,0,0,0,-0,0.9062224575763876
00-0033869,2023,4,3,5,18,0,0,0,-0,-1.1255575283430517
00-0033869,2023,8,15,27,138,1,2,2,15,-7.641714351077098
00-0033869,2023,13,11,17,117,1,0,0,-0,8.028602926241097
00-0033869,2023,14,22,35,190,1,1,2,8,-16.507744101715836
00-0033869,2023,15,16,23,169,1,2,3,19,-2.4031188849476166
00-0033873,2023,1,21,39,226,2,1,0,-0,-6.4536129623823655
